"Region","Year","Demographic","Out_of_State","Type of Placement","tot_Value","Measure Type","Variable"
"Region 0","SFY 2013-2014","Female","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","In State","Relative Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","In State","Residential Treatment Center",1,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","In State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","In State","Solnit Center",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","In State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","In State","Therapeutic Foster Care",1,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","In State","Total",3,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","Out of State","Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","Out of State","Group Home",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","Out of State","Residential Treatment Center",1,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","Out of State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","Out of State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Female","Out of State","Total",1,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","In State","Connecticut Juvenile Training School",20,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","In State","Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","In State","Group Home",5,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","In State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","In State","Independent Living",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","In State","Relative Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","In State","Residential Treatment Center",4,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","In State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","In State","Solnit Center",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","In State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","In State","Total",29,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","Out of State","Group Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","Out of State","Shelter",-6666,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","Out of State","Special Study",-6666,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Male","Out of State","Total",-6666,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","In State","Connecticut Juvenile Training School",20,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","In State","Foster Care",1,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","In State","Group Home",5,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","In State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","In State","Independent Living",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","In State","Relative Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","In State","Residential Treatment Center",5,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","In State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","In State","Solnit Center",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","In State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","In State","Therapeutic Foster Care",1,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","In State","Total",32,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","Out of State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","Out of State","Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","Out of State","Group Home",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","Out of State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","Out of State","Independent Living",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","Out of State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","Out of State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","Out of State","Relative Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","Out of State","Residential Treatment Center",1,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","Out of State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","Out of State","Solnit Center",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","Out of State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","Out of State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2013-2014","Total","Out of State","Total",1,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","In State","Connecticut Juvenile Training School",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","In State","Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","In State","Group Home",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","In State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","In State","Independent Living",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","In State","Relative Foster Care",1,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","In State","Residential Treatment Center",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","In State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","In State","Solnit Center",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","In State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","In State","Therapeutic Foster Care",1,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","In State","Total",2,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","Out of State","Group Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","Out of State","High Meadows",-6666,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","Out of State","Independent Living",-6666,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","Out of State","Medical or Psychiatric Hospital Placement",-6666,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","Out of State","PDC or Safe Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","Out of State","Relative Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","Out of State","Residential Treatment Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","Out of State","Shelter",-6666,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","Out of State","Solnit Center",-6666,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","Out of State","Special Study",-6666,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","Out of State","Therapeutic Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Female","Out of State","Total",-6666,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Male","In State","Connecticut Juvenile Training School",3,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Male","In State","Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Male","In State","Group Home",2,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Male","In State","High Meadows",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Male","In State","Independent Living",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Male","In State","Medical or Psychiatric Hospital Placement",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Male","In State","PDC or Safe Home",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Male","In State","Relative Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Male","In State","Residential Treatment Center",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Male","In State","Shelter",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Male","In State","Solnit Center",1,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Male","In State","Special Study",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Male","In State","Therapeutic Foster Care",0,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Male","In State","Total",6,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Male","Out of State","Connecticut Juvenile Training School",-6666,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Male","Out of State","Foster Care",-6666,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Male","Out of State","Group Home",-6666,"Number","Children in Placement"
"Region 0","SFY 2014-2015","Male","Out of State","High Meadows",-6666,"Number","Children in Placement"
